15.93,0.16
7.00,3.24
-8.26,1.76
1.09,3.02
2.46,-1.79
-5.30,1.34
-1.12,-1.34
16.19,-3.20
9.73,2.74
7.10,0.68
-15.41,-1.66
4.67,2.01
14.31,3.18
-11.74,-2.51
-17.97,3.15
-11.36,0.18
-11.60,2.94
11.57,-1.07
18.01,-0.05
-4.10,-1.49
13.23,-2.47
-17.76,-0.25
9.78,0.71
10.64,-3.10
12.49,1.76
-13.84,0.68
-6.51,-2.94
16.08,2.22
-1.98,2.54
4.42,-2.82
-2.34,0.35
-17.54,-2.89
-9.54,-1.73
6.29,-1.86
-7.99,-0.30
2.82,0.46
8.79,-1.53
13.51,-0.03
-15.63,2.93
18.23,2.61
-2.61,-2.98
-13.85,-2.92
18.12,-2.46
4.74,-0.42
0.13,-3.14
