-17.90,1.22
0.83,1.77
-13.32,0.25
14.01,-1.69
10.04,-2.98
-13.60,-3.20
11.02,-1.12
8.31,1.85
4.44,-2.63
14.65,1.56
-2.17,1.68
16.03,-1.06
-17.52,-2.22
10.81,1.62
-6.41,0.43
-10.72,1.71
-15.55,3.09
-0.20,-3.20
-15.85,-0.81
8.39,-0.53
5.65,0.64
-8.80,-1.03
6.77,-3.01
-4.35,0.15
12.77,2.54
-4.83,-2.04
-11.13,-2.23
-5.79,2.99
-7.95,2.48
2.78,3.17
17.76,-2.87
16.93,1.44
-2.21,-1.33
1.73,-1.20
4.92,2.54
-8.48,-3.21
-13.40,2.66
2.92,0.79
15.63,-3.07
12.81,0.12
18.18,-0.23
-6.81,-1.71
-0.75,3.23
12.16,-3.14
-3.78,3.03
