3.57,2.33
-5.46,0.07
0.10,3.20
-2.06,0.34
11.91,-3.05
-15.14,-1.45
18.03,2.31
-3.66,-2.28
-16.87,2.31
-12.84,-2.95
14.92,-2.58
12.82,0.78
8.87,1.43
-6.91,2.74
-12.39,-0.77
6.95,-2.59
2.72,-1.98
-17.06,-0.52
14.92,1.78
-11.84,1.75
-0.20,-3.03
8.80,-1.47
-10.27,0.36
11.93,3.16
-16.72,-3.19
-7.95,-0.30
17.98,-1.89
-14.53,1.90
3.84,0.14
-7.31,-2.87
16.04,-0.50
-9.59,-2.60
6.65,2.04
4.79,-2.12
5.93,-0.40
-4.79,2.30
-9.17,2.44
1.43,1.24
11.03,-0.21
13.19,-1.23
-1.83,2.59
18.11,0.16
9.84,-3.24
-1.73,-1.71
9.84,3.24
